latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
45.51845,10.737833,110.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),winddirection_10m_dominant (°),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),temperature_2m_mean (°C)
28/05/1990,53,76,58,65,59,18.9,13.6,1.40,4.0,15.1,4.4,16.6
29/05/1990,61,84,53,66,96,17.2,11.7,5.70,8.0,20.8,8.7,14.6
30/05/1990,3,79,45,60,18,18.5,12.2,0.00,0.0,12.9,4.4,15.5
31/05/1990,0,82,45,60,13,20.9,12.1,0.00,0.0,12.6,4.8,17.1
01/06/1990,2,81,54,64,336,22.2,13.6,0.00,0.0,14.4,5.1,18.6
02/06/1990,3,79,53,66,260,21.6,15.4,0.00,0.0,20.0,8.5,18.8
03/06/1990,3,95,55,72,99,21.5,12.7,0.00,0.0,21.5,9.0,18.0
04/06/1990,51,92,70,79,72,19.1,15.4,0.70,4.0,19.7,9.9,17.1
05/06/1990,61,91,71,84,74,21.2,15.3,6.60,9.0,19.9,7.8,17.9
06/06/1990,53,91,81,87,80,19.4,16.3,4.90,11.0,20.9,9.0,17.8
07/06/1990,53,92,72,85,96,21.5,16.3,2.20,6.0,17.1,6.8,18.3
08/06/1990,63,93,78,86,69,19.3,15.8,9.30,15.0,20.7,6.9,17.6
09/06/1990,61,92,69,80,76,18.4,12.8,10.10,19.0,17.9,8.2,16.1
10/06/1990,61,97,45,72,252,20.1,13.1,2.70,5.0,18.5,5.4,16.3
11/06/1990,3,89,40,61,289,22.9,12.6,0.00,0.0,17.1,6.9,18.3
12/06/1990,61,94,66,81,35,16.9,14.2,13.50,19.0,14.8,4.7,15.8
13/06/1990,2,100,54,77,283,21.4,11.8,0.00,0.0,15.0,5.2,16.9
14/06/1990,61,89,60,76,74,21.7,14.5,4.40,7.0,13.6,4.1,18.1
15/06/1990,55,98,60,79,37,21.1,14.4,3.00,10.0,12.6,3.7,18.0
16/06/1990,2,93,52,71,57,22.5,16.0,0.00,0.0,11.5,4.5,19.5
17/06/1990,1,86,58,71,76,23.6,15.6,0.00,0.0,13.3,4.2,20.1
18/06/1990,55,83,66,77,301,22.5,17.7,2.00,6.0,14.9,3.8,20.2
19/06/1990,2,99,56,77,21,24.3,15.1,0.00,0.0,11.6,3.7,20.5
20/06/1990,51,90,59,74,76,25.9,16.6,0.10,1.0,19.3,7.6,21.8
21/06/1990,51,91,57,72,293,24.3,16.5,0.40,2.0,18.0,5.7,21.0
22/06/1990,3,87,56,71,214,24.8,18.3,0.00,0.0,17.8,7.1,21.5
23/06/1990,3,84,60,71,240,24.6,18.7,0.00,0.0,18.0,8.2,22.1
24/06/1990,1,82,58,70,92,24.8,18.5,0.00,0.0,18.1,6.4,21.9
25/06/1990,2,81,44,65,81,27.3,19.8,0.00,0.0,17.1,6.7,23.6
26/06/1990,2,79,40,60,85,28.6,19.2,0.00,0.0,17.3,7.0,24.1
27/06/1990,51,82,40,62,82,29.6,20.1,0.20,1.0,17.5,6.6,25.1
28/06/1990,53,77,50,63,85,28.6,21.1,0.60,1.0,16.2,5.6,25.0
29/06/1990,53,81,55,66,59,28.3,20.9,0.50,1.0,13.1,4.3,25.1
30/06/1990,51,82,59,68,317,28.8,21.0,0.20,1.0,14.4,5.5,25.4
01/07/1990,51,79,56,66,259,27.9,21.5,0.10,1.0,20.0,7.3,24.8
02/07/1990,51,83,59,70,80,24.2,19.6,0.30,2.0,24.7,10.8,21.7
03/07/1990,63,93,63,78,79,21.8,16.7,13.90,10.0,24.4,9.9,19.2
04/07/1990,53,97,42,66,294,24.5,15.4,1.00,3.0,17.2,6.9,20.6
05/07/1990,2,76,41,58,148,26.2,17.6,0.00,0.0,14.9,5.1,22.4
06/07/1990,51,77,51,64,111,22.2,18.2,0.60,2.0,23.2,10.6,20.8
07/07/1990,3,82,48,63,85,22.4,16.5,0.00,0.0,14.8,4.8,19.8
08/07/1990,3,68,48,57,79,24.9,17.4,0.00,0.0,15.3,5.5,21.4
09/07/1990,0,77,47,62,85,28.2,18.9,0.00,0.0,16.0,6.3,23.7
10/07/1990,63,84,56,70,81,26.3,18.8,13.90,7.0,20.5,8.9,22.6
11/07/1990,53,86,39,63,90,23.6,15.0,2.10,5.0,26.8,11.8,19.4
12/07/1990,1,75,42,58,70,25.5,17.9,0.00,0.0,20.0,9.8,21.6
13/07/1990,0,89,51,65,306,27.0,17.9,0.00,0.0,11.1,3.2,23.1
14/07/1990,3,82,51,65,111,28.8,20.9,0.00,0.0,14.5,4.9,25.1
15/07/1990,51,73,49,63,90,27.3,21.7,0.20,1.0,25.9,10.0,24.2
16/07/1990,2,76,46,63,94,29.3,21.8,0.00,0.0,13.1,3.8,25.5
17/07/1990,2,80,55,67,236,30.1,22.2,0.00,0.0,16.5,5.4,26.4
18/07/1990,61,89,58,71,92,25.0,19.5,5.20,8.0,27.1,11.9,22.6
19/07/1990,3,70,45,56,123,26.2,20.1,0.00,0.0,14.5,5.6,23.1
20/07/1990,0,64,41,53,114,27.9,20.7,0.00,0.0,14.4,4.7,24.2
21/07/1990,1,78,41,57,102,29.7,20.4,0.00,0.0,14.8,5.4,25.3
22/07/1990,1,78,37,59,101,31.4,21.2,0.00,0.0,15.5,6.1,26.5
23/07/1990,2,73,43,59,96,31.0,22.7,0.00,0.0,16.9,5.4,27.0
24/07/1990,61,87,50,65,106,28.9,20.9,6.90,8.0,15.0,4.5,25.0
25/07/1990,2,88,53,70,109,26.2,20.5,0.00,0.0,17.9,6.4,23.2
26/07/1990,3,77,38,57,99,27.3,20.4,0.00,0.0,17.1,7.8,23.7
27/07/1990,3,66,35,49,112,29.1,21.2,0.00,0.0,12.3,4.2,25.3
28/07/1990,3,73,33,50,103,30.8,20.8,0.00,0.0,15.8,6.6,26.1
29/07/1990,3,74,39,53,267,30.3,21.8,0.00,0.0,17.7,7.3,26.4
30/07/1990,53,78,45,61,238,29.5,21.7,0.90,2.0,15.4,4.6,25.7
31/07/1990,55,81,48,64,110,28.8,23.0,1.40,3.0,14.7,5.1,25.8
01/08/1990,61,78,44,60,64,29.9,23.1,2.40,3.0,17.5,7.6,26.4
02/08/1990,0,80,41,57,72,31.2,22.3,0.00,0.0,16.5,7.0,27.6
03/08/1990,1,66,35,46,94,30.5,24.3,0.00,0.0,20.5,9.6,27.5
04/08/1990,0,54,34,43,98,29.8,23.6,0.00,0.0,18.7,8.6,26.5
05/08/1990,0,61,33,43,150,30.2,22.9,0.00,0.0,13.1,4.1,26.8
06/08/1990,61,82,37,56,98,30.5,21.3,3.90,5.0,17.5,6.5,25.5
07/08/1990,63,89,79,85,78,21.3,18.0,33.80,21.0,21.9,11.0,20.1
08/08/1990,3,94,53,72,84,22.7,16.9,0.00,0.0,14.4,6.7,20.0
09/08/1990,3,75,46,58,109,24.3,19.7,0.00,0.0,10.9,4.8,22.0
10/08/1990,0,70,44,56,101,25.3,19.7,0.00,0.0,10.8,4.0,22.7
11/08/1990,3,81,45,61,333,27.6,19.7,0.00,0.0,11.5,4.3,23.9
12/08/1990,51,78,50,64,94,27.3,20.9,0.20,1.0,12.7,4.1,24.1
13/08/1990,3,89,50,65,286,28.0,20.4,0.00,0.0,13.9,5.0,24.7
14/08/1990,3,85,56,72,278,26.7,20.6,0.00,0.0,16.8,5.7,23.5
15/08/1990,61,91,60,75,259,25.7,19.7,2.30,5.0,16.1,6.2,22.8
16/08/1990,51,99,55,74,97,27.0,18.2,0.10,1.0,11.4,3.5,23.4
17/08/1990,61,85,67,76,87,25.3,20.7,5.90,8.0,18.3,6.6,22.8
18/08/1990,51,68,41,54,93,24.3,18.0,0.20,1.0,22.9,9.3,21.3
19/08/1990,0,75,46,59,94,25.9,18.5,0.00,0.0,11.4,3.8,22.3
20/08/1990,2,78,50,64,306,27.5,20.3,0.00,0.0,14.5,5.1,23.7
21/08/1990,3,88,34,63,264,30.0,19.2,0.00,0.0,26.9,12.1,24.3
22/08/1990,51,78,41,57,96,25.2,18.4,0.20,1.0,18.3,7.7,22.2
23/08/1990,2,58,40,48,123,26.4,20.6,0.00,0.0,14.1,4.8,23.4
24/08/1990,0,73,40,54,94,27.3,18.7,0.00,0.0,15.8,6.2,23.2
25/08/1990,1,79,38,57,80,28.6,18.9,0.00,0.0,13.6,4.3,23.9
26/08/1990,63,78,52,66,76,26.6,21.1,12.20,8.0,13.5,4.6,23.2
27/08/1990,61,81,53,69,319,26.3,19.8,6.90,7.0,16.8,3.9,23.1
28/08/1990,3,81,40,60,341,28.8,21.2,0.00,0.0,12.9,5.1,24.9
29/08/1990,2,78,38,57,356,28.9,22.2,0.00,0.0,10.6,3.7,25.5
30/08/1990,3,84,39,61,290,28.5,21.6,0.00,0.0,11.8,3.9,24.9
31/08/1990,51,78,47,63,168,27.3,20.8,0.50,2.0,17.0,4.6,23.9
01/09/1990,63,84,65,76,75,23.1,19.5,6.60,9.0,14.8,5.9,20.8
02/09/1990,63,89,67,81,90,22.5,18.3,8.70,13.0,15.3,6.1,19.8
03/09/1990,3,85,55,70,320,23.5,18.1,0.00,0.0,10.2,4.0,20.8
04/09/1990,61,91,59,76,85,23.8,18.2,6.70,6.0,14.1,4.5,20.6
05/09/1990,3,98,59,78,79,23.7,16.3,0.00,0.0,14.1,4.6,20.0
06/09/1990,53,88,49,66,85,21.6,17.3,1.90,5.0,23.1,10.5,19.5
07/09/1990,61,94,60,71,67,20.7,16.6,4.60,7.0,20.2,8.6,18.4
08/09/1990,51,97,51,73,93,20.6,13.9,1.10,5.0,14.4,5.1,17.5
09/09/1990,3,70,44,59,45,22.7,17.1,0.00,0.0,11.4,4.0,19.7
10/09/1990,3,78,49,64,63,23.0,16.5,0.00,0.0,11.6,4.7,19.7
11/09/1990,51,88,54,69,88,20.8,15.5,0.40,3.0,21.4,8.3,18.5
12/09/1990,3,78,38,59,309,23.3,16.4,0.00,0.0,18.8,9.8,19.7
13/09/1990,3,72,42,56,80,21.6,16.7,0.00,0.0,21.4,9.6,19.0
14/09/1990,3,73,46,59,58,22.2,14.9,0.00,0.0,13.4,5.1,18.6
15/09/1990,53,99,68,79,86,19.2,15.3,2.60,8.0,11.9,4.3,17.4
16/09/1990,3,100,62,82,78,21.5,13.2,0.00,0.0,13.0,4.6,17.7
17/09/1990,51,89,73,81,72,19.0,16.1,0.20,1.0,18.4,7.9,17.6
18/09/1990,3,91,47,73,53,23.5,15.6,0.00,0.0,13.3,4.6,19.2
19/09/1990,3,91,64,78,81,21.1,16.0,0.00,0.0,17.7,7.8,18.5
20/09/1990,53,92,64,81,95,21.7,16.1,2.10,4.0,13.7,4.3,18.5
21/09/1990,3,97,53,76,273,23.4,15.6,0.00,0.0,15.5,6.4,19.3
22/09/1990,3,87,48,69,88,24.1,15.0,0.00,0.0,12.2,3.8,19.7
23/09/1990,55,94,63,77,77,23.6,17.3,3.30,7.0,17.4,5.4,19.8
24/09/1990,61,96,58,82,33,22.7,17.0,6.20,7.0,25.7,9.9,18.9
25/09/1990,51,75,54,65,76,20.0,15.4,0.10,1.0,20.4,8.0,17.6
26/09/1990,61,90,75,83,91,17.8,15.2,8.40,11.0,10.2,3.6,16.2
