latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
45.51845,10.879121,234.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),temperature_2m_mean (°C)
10/04/1990,51,14.1,4.1,0.80,4.0,249,15.9,4.7,89,58,75,9.1
11/04/1990,51,13.8,2.8,0.80,5.0,25,15.5,4.2,94,60,78,8.8
12/04/1990,61,14.1,3.0,2.40,6.0,359,15.2,3.7,91,50,74,8.5
13/04/1990,2,14.3,2.9,0.00,0.0,254,15.3,5.5,87,46,61,9.6
14/04/1990,55,14.9,5.0,4.90,8.0,63,14.7,5.4,91,50,70,10.1
15/04/1990,53,12.3,7.2,4.50,17.0,325,13.5,3.2,94,69,84,9.7
16/04/1990,53,13.7,6.6,2.00,7.0,249,17.2,4.8,93,60,77,10.1
17/04/1990,51,14.3,4.0,0.20,1.0,133,14.9,5.2,93,52,70,10.0
18/04/1990,53,10.5,6.7,6.40,21.0,56,27.7,11.6,87,69,78,8.5
19/04/1990,53,10.1,5.9,5.70,19.0,80,22.3,6.0,90,70,80,8.0
20/04/1990,55,11.8,3.3,3.90,11.0,68,29.8,11.4,91,66,80,8.0
21/04/1990,61,12.2,6.0,7.50,15.0,66,21.6,6.3,92,76,84,8.9
22/04/1990,61,13.4,3.8,6.30,15.0,84,17.1,6.2,98,62,83,9.0
23/04/1990,71,12.1,5.3,17.20,16.0,298,24.2,8.0,94,66,83,8.5
24/04/1990,55,14.9,3.1,2.00,5.0,274,20.0,6.3,96,65,83,9.5
25/04/1990,51,16.4,5.4,0.30,1.0,284,16.9,5.6,94,60,76,11.4
26/04/1990,53,17.4,4.6,1.00,4.0,298,16.2,4.9,97,60,80,11.7
27/04/1990,1,18.8,5.6,0.00,0.0,277,17.8,6.7,93,49,70,12.8
28/04/1990,51,20.4,8.3,0.10,1.0,274,16.3,6.0,90,50,69,14.7
29/04/1990,3,17.0,11.6,0.00,0.0,89,23.0,9.0,91,50,66,13.9
30/04/1990,1,18.0,7.3,0.00,0.0,107,11.6,4.0,83,52,64,13.8
01/05/1990,1,21.1,8.3,0.00,0.0,232,14.2,5.0,84,52,67,15.7
02/05/1990,2,22.1,11.5,0.00,0.0,86,13.2,5.0,88,50,69,17.3
03/05/1990,2,19.7,11.9,0.00,0.0,92,17.7,6.8,86,52,68,16.2
04/05/1990,3,21.2,10.1,0.00,0.0,93,14.4,5.0,88,48,67,15.9
05/05/1990,2,20.7,8.8,0.00,0.0,86,15.3,5.4,93,47,66,16.0
06/05/1990,0,21.3,8.3,0.00,0.0,110,12.8,4.3,91,45,62,16.1
07/05/1990,2,21.1,7.5,0.00,0.0,171,13.5,4.1,92,46,65,16.0
08/05/1990,3,21.5,11.7,0.00,0.0,68,11.4,4.2,78,47,64,17.3
09/05/1990,51,22.8,8.8,0.20,1.0,310,13.6,4.6,94,42,65,17.5
10/05/1990,1,23.7,9.4,0.00,0.0,265,15.8,5.1,91,39,60,18.3
11/05/1990,2,22.8,12.8,0.00,0.0,214,15.9,5.0,77,36,53,18.8
12/05/1990,55,20.1,13.3,2.60,4.0,91,13.4,5.1,88,60,71,16.8
13/05/1990,3,21.5,10.1,0.00,0.0,89,14.3,4.1,95,52,72,16.7
14/05/1990,51,22.2,12.5,0.30,2.0,259,15.3,4.9,93,55,72,18.0
15/05/1990,3,24.3,14.2,0.00,0.0,325,13.1,3.7,86,48,69,19.4
16/05/1990,53,24.7,12.2,1.20,4.0,19,14.4,4.2,97,52,75,19.3
17/05/1990,3,25.7,13.0,0.00,0.0,327,16.1,5.2,93,48,71,20.3
18/05/1990,61,23.7,13.5,6.10,8.0,28,16.4,3.7,97,62,80,18.9
19/05/1990,61,19.0,13.2,11.80,17.0,57,14.3,4.5,98,80,90,16.3
20/05/1990,53,20.5,14.8,2.10,8.0,85,21.9,8.4,94,54,73,17.2
21/05/1990,51,21.4,13.2,0.60,3.0,107,14.5,4.9,88,59,71,17.6
22/05/1990,61,21.5,14.4,9.00,12.0,96,14.6,4.5,93,70,83,17.6
23/05/1990,3,23.0,14.4,0.00,0.0,95,13.7,4.3,91,57,76,18.6
24/05/1990,55,21.1,16.2,9.90,22.0,66,27.0,11.2,94,70,84,18.1
25/05/1990,53,21.6,14.5,2.40,6.0,265,19.8,6.4,97,54,77,18.1
26/05/1990,51,19.2,13.9,0.40,3.0,86,24.8,9.0,86,48,66,16.6
27/05/1990,51,19.3,11.8,1.00,5.0,79,14.8,5.0,78,48,61,15.9
28/05/1990,51,19.0,10.5,1.60,6.0,25,15.2,4.6,85,54,67,15.5
29/05/1990,61,17.3,8.9,6.80,11.0,100,19.2,6.2,90,51,68,13.3
30/05/1990,51,18.4,10.8,0.20,1.0,266,15.0,5.0,74,44,57,15.1
31/05/1990,1,20.9,9.1,0.00,0.0,263,15.1,5.1,77,43,56,16.3
01/06/1990,2,22.7,11.4,0.00,0.0,285,15.7,4.7,77,47,59,18.0
02/06/1990,3,21.9,14.4,0.00,0.0,258,19.8,7.6,78,48,62,18.4
03/06/1990,3,21.3,11.1,0.00,0.0,97,20.8,7.3,96,52,72,17.1
04/06/1990,53,18.9,14.4,3.20,12.0,72,16.0,6.6,95,71,82,16.4
05/06/1990,61,21.8,13.7,8.80,11.0,72,19.9,6.4,95,67,86,17.4
06/06/1990,61,18.7,15.6,8.10,11.0,80,19.6,6.9,94,85,91,17.2
